Date,Amount,Category,Merchant
2025-01-01,1500,Groceries,BigBasket
2025-01-02,200,Transportation,Uber
2025-01-03,300,Entertainment,Amazon
2025-01-04,1000,Groceries,BigBasket
2025-01-05,500,Transportation,Swiggy
2025-01-06,400,Entertainment,Netflix
2025-01-07,1200,Groceries,BigBasket
2025-01-08,150,Transportation,Public Transport
2025-01-09,2500,Groceries,BigBasket
2025-01-10,700,Entertainment,Amazon
2025-02-01,1800,Groceries,BigBasket
2025-02-02,250,Transportation,Uber
2025-02-03,600,Entertainment,Netflix
2025-02-04,300,Transportation,Uber
2025-02-05,1200,Groceries,BigBasket
2025-02-06,100,Transportation,Swiggy
2025-02-07,1500,Groceries,BigBasket
2025-02-08,700,Entertainment,Amazon
2025-02-09,1200,Groceries,BigBasket
2025-02-10,800,Transportation,Uber
2025-03-01,1300,Groceries,BigBasket
2025-03-02,400,Entertainment,Netflix
2025-03-03,500,Transportation,Uber
2025-03-04,200,Groceries,BigBasket
2025-03-05,1500,Entertainment,Amazon
2025-03-06,300,Transportation,Swiggy
2025-03-07,1200,Groceries,BigBasket
2025-03-08,150,Entertainment,Netflix
2025-03-09,2500,Groceries,BigBasket
2025-03-10,500,Transportation,Public Transport
2025-04-01,1500,Groceries,BigBasket
2025-04-01,300,Transportation,Uber
2025-04-02,500,Entertainment,Amazon
2025-04-02,2500,Groceries,BigBasket
2025-04-03,200,Transportation,Swiggy
2025-04-03,400,Entertainment,Netflix
2025-04-04,1200,Groceries,BigBasket
2025-04-04,100,Transportation,Uber
2025-04-05,150,Transportation,Public Transport
2025-04-05,2000,Groceries,BigBasket
2025-04-06,800,Entertainment,Amazon
2025-04-06,300,Groceries,BigBasket
2025-04-07,500,Transportation,Uber
2025-04-07,150,Entertainment,Netflix
2025-04-08,700,Groceries,BigBasket
2025-04-08,400,Entertainment,Amazon
2025-04-09,2500,Groceries,BigBasket
2025-04-09,150,Transportation,Public Transport
2025-04-10,300,Entertainment,Netflix
2025-04-10,500,Transportation,Uber
2025-05-01,1600,Groceries,BigBasket
2025-05-02,250,Transportation,Uber
2025-05-03,300,Entertainment,Amazon
2025-05-04,1500,Groceries,BigBasket
2025-05-05,400,Transportation,Swiggy
2025-05-06,500,Entertainment,Netflix
2025-05-07,1200,Groceries,BigBasket
2025-05-08,150,Transportation,Public Transport
2025-05-09,2500,Groceries,BigBasket
2025-05-10,700,Entertainment,Amazon
2025-06-01,1700,Groceries,BigBasket
2025-06-02,200,Transportation,Uber
2025-06-03,600,Entertainment,Netflix
2025-06-04,300,Transportation,Uber
2025-06-05,1200,Groceries,BigBasket
2025-06-06,100,Transportation,Swiggy
2025-06-07,1500,Groceries,BigBasket
2025-06-08,700,Entertainment,Amazon
2025-06-09,1200,Groceries,BigBasket
2025-06-10,800,Transportation,Uber
2025-07-01,1300,Groceries,BigBasket
2025-07-02,400,Entertainment,Netflix
2025-07-03,500,Transportation,Uber
2025-07-04,200,Groceries,BigBasket
2025-07-05,1500,Entertainment,Amazon
2025-07-06,300,Transportation,Swiggy
2025-07-07,1200,Groceries,BigBasket
2025-07-08,150,Entertainment,Netflix
2025-07-09,2500,Groceries,BigBasket
2025-07-10,500,Transportation,Public Transport
2025-08-01,1500,Groceries,BigBasket
2025-08-02,300,Transportation,Uber
2025-08-03,500,Entertainment,Amazon
2025-08-04,2500,Groceries,BigBasket
2025-08-05,200,Transportation,Swiggy
2025-08-06,400,Entertainment,Netflix
2025-08-07,1200,Groceries,BigBasket
2025-08-08,100,Transportation,Uber
2025-08-09,1500,Groceries,BigBasket
2025-08-10,700,Entertainment,Amazon
2025-09-01,1700,Groceries,BigBasket
2025-09-02,200,Transportation,Uber
2025-09-03,600,Entertainment,Netflix
2025-09-04,300,Transportation,Uber
2025-09-05,1200,Groceries,BigBasket
2025-09-06,100,Transportation,Swiggy
2025-09-07,1500,Groceries,BigBasket
2025-09-08,700,Entertainment,Amazon
2025-09-09,1200,Groceries,BigBasket
2025-09-10,800,Transportation,Uber
